fir_id,district,crime_type,sub_type,date_time,lat,lon,status,weapon,description,mo_tags
"FIR-2023-MYS-001","mysuru","property crime","house break-in","2023-11-02T02:00:00",12.2958,76.6394,"Under Investigation","crowbar","Broken back door, cash and jewelry stolen.","night, unattended house"
"FIR-2023-MYS-002","mysuru","property crime","shoplifting","2023-11-05T14:30:00",12.3051,76.6450,"Closed-True","None","Caught on CCTV stealing electronics.","daytime, cctv"
"FIR-2023-MYS-003","mysuru","theft","pickpocketing","2023-11-06T10:15:00",12.3150,76.6550,"Pending Trial","None","Purse stolen at bus stand.","crowd, daytime"
"FIR-2023-MYS-004","mysuru","assault","domestic dispute","2023-11-07T19:45:00",12.3250,76.6650,"Charge-Sheeted","stick","Altercation between neighbors.","indoor, alcohol"
"FIR-2023-MYS-005","mysuru","property crime","house break-in","2023-11-08T01:30:00",12.3350,76.6750,"Under Investigation","crowbar","Forced entry through front door.","night, unattended house"
"FIR-2023-MYS-006","mysuru","theft","vehicle theft","2023-11-09T08:00:00",12.3450,76.6850,"Closed-True","None","Motorcycle taken from driveway.","morning, residential"
"FIR-2023-MYS-007","mysuru","property crime","shoplifting","2023-11-10T16:20:00",12.3550,76.6950,"Pending Trial","None","Clothing stolen from mall.","daytime, cctv"
"FIR-2023-MYS-008","mysuru","assault","street brawl","2023-11-11T21:00:00",12.3650,76.7050,"Under Investigation","stick","Fight outside local market.","group, night"
"FIR-2023-MYS-009","mysuru","theft","pickpocketing","2023-11-12T13:45:00",12.2850,76.6250,"Charge-Sheeted","None","Wallet missing after boarding bus.","crowd, daytime"
"FIR-2023-MYS-010","mysuru","property crime","house break-in","2023-11-13T03:10:00",12.2750,76.6150,"Closed-True","crowbar","Window smashed to gain entry.","night, unattended house"
"FIR-2023-MYS-011","mysuru","assault","domestic dispute","2023-11-14T18:30:00",12.2650,76.6050,"Pending Trial","None","Verbal argument escalated to physical violence.","indoor, domestic"
"FIR-2023-MYS-012","mysuru","theft","vehicle theft","2023-11-15T07:15:00",12.2550,76.5950,"Under Investigation","None","Car stolen overnight from street.","night, public area"
"FIR-2023-MYS-013","mysuru","property crime","shoplifting","2023-11-16T15:00:00",12.2450,76.5850,"Charge-Sheeted","None","Groceries stolen from supermarket.","daytime, cctv"
"FIR-2023-MYS-014","mysuru","assault","street brawl","2023-11-17T20:30:00",12.2350,76.5750,"Closed-True","stick","Altercation over traffic incident.","street, anger"
"FIR-2023-MYS-015","mysuru","theft","pickpocketing","2023-11-18T12:20:00",12.2250,76.5650,"Pending Trial","None","Phone stolen in crowded train station.","crowd, daytime"
"FIR-2023-MYS-016","mysuru","property crime","house break-in","2023-11-19T02:40:00",12.2150,76.5550,"Under Investigation","crowbar","Door lock broken, valuables taken.","night, unattended house"
"FIR-2023-MYS-017","mysuru","assault","domestic dispute","2023-11-20T17:10:00",12.2050,76.5450,"Charge-Sheeted","None","Fight between family members.","indoor, domestic"
"FIR-2023-MYS-018","mysuru","theft","vehicle theft","2023-11-21T09:00:00",12.1950,76.5350,"Closed-True","None","Bicycle stolen from school.","morning, public area"
"FIR-2023-MYS-019","mysuru","property crime","shoplifting","2023-11-22T14:45:00",12.1850,76.5250,"Pending Trial","None","Jewelry stolen from display case.","daytime, cctv"
"FIR-2023-MYS-020","mysuru","assault","street brawl","2023-11-23T22:15:00",12.1750,76.5150,"Under Investigation","stick","Group fight near park.","group, night"
"FIR-2023-MYS-021","mysuru","theft","pickpocketing","2023-11-24T11:30:00",12.1650,76.5050,"Charge-Sheeted","None","Cash stolen from pocket in market.","crowd, daytime"
"FIR-2023-MYS-022","mysuru","property crime","house break-in","2023-11-25T04:00:00",12.1550,76.4950,"Closed-True","crowbar","Entry through roof, safe opened.","night, unattended house"
"FIR-2023-MYS-023","mysuru","assault","domestic dispute","2023-11-26T19:20:00",12.1450,76.4850,"Pending Trial","None","Loud argument resulting in injuries.","indoor, alcohol"
"FIR-2023-MYS-024","mysuru","theft","vehicle theft","2023-11-27T08:30:00",12.1350,76.4750,"Under Investigation","None","Motorcycle taken from parking lot.","morning, residential"
