fir_id,district,crime_type,sub_type,date_time,lat,lon,status,weapon,description,mo_tags
"FIR-2023-CYB-001","hubballi-dharwad","cybercrime","phishing","2023-12-01T10:00:00",15.3647,75.1240,"Under Investigation","None","Victim tricked into sharing OTP, lost funds.","online, bank fraud"
"FIR-2023-CYB-002","belagavi","cybercrime","identity theft","2023-12-03T16:20:00",15.8497,74.4977,"Pending Trial","None","Fake social media profile created to extort money.","social media, extortion"
"FIR-2023-CYB-003","bengaluru urban","cybercrime","online fraud","2023-12-05T09:15:00",12.9716,77.5946,"Charge-Sheeted","None","Fake e-commerce listing scammed buyer.","ecommerce, fake product"
"FIR-2023-CYB-004","mysuru","cybercrime","cyber bullying","2023-12-07T20:30:00",12.2958,76.6394,"Closed-True","None","Harassment messages sent via messaging app.","social media, harassment"
"FIR-2023-CYB-005","mangaluru","cybercrime","phishing","2023-12-09T11:45:00",12.9141,74.8560,"Under Investigation","None","Fraudulent email requesting password reset.","online, bank fraud"
"FIR-2023-CYB-006","hubballi-dharwad","cybercrime","identity theft","2023-12-11T14:10:00",15.3500,75.1300,"Pending Trial","None","Stolen credentials used to apply for loan.","financial, identity"
"FIR-2023-CYB-007","belagavi","cybercrime","online fraud","2023-12-13T17:25:00",15.8500,74.5000,"Charge-Sheeted","None","Investment scam promising high returns.","crypto, scam"
"FIR-2023-CYB-008","bengaluru urban","cybercrime","cyber bullying","2023-12-15T22:00:00",12.9800,77.6000,"Closed-True","None","Derogatory comments on public forum.","social media, harassment"
"FIR-2023-CYB-009","mysuru","cybercrime","phishing","2023-12-17T08:50:00",12.3000,76.6400,"Under Investigation","None","Fake lottery winning notification.","email, scam"
"FIR-2023-CYB-010","mangaluru","cybercrime","identity theft","2023-12-19T13:15:00",12.9200,74.8600,"Pending Trial","None","Impersonation on dating app.","social media, impersonation"
"FIR-2023-CYB-011","hubballi-dharwad","cybercrime","online fraud","2023-12-21T16:40:00",15.3600,75.1400,"Charge-Sheeted","None","Fake customer care number scam.","vishing, bank fraud"
"FIR-2023-CYB-012","belagavi","cybercrime","cyber bullying","2023-12-23T19:55:00",15.8600,74.5100,"Closed-True","None","Threatening emails received by victim.","email, threats"
"FIR-2023-CYB-013","bengaluru urban","cybercrime","phishing","2023-12-25T10:30:00",12.9900,77.6100,"Under Investigation","None","Malicious link sent via SMS.","smishing, malware"
"FIR-2023-CYB-014","mysuru","cybercrime","identity theft","2023-12-27T15:20:00",12.3100,76.6500,"Pending Trial","None","Unauthorized access to social media account.","hacking, social media"
"FIR-2023-CYB-015","mangaluru","cybercrime","online fraud","2023-12-29T18:45:00",12.9300,74.8700,"Charge-Sheeted","None","Non-delivery of goods ordered online.","ecommerce, fraud"
"FIR-2023-CYB-016","hubballi-dharwad","cybercrime","cyber bullying","2023-12-31T21:10:00",15.3700,75.1500,"Closed-True","None","Doxxing and release of private information.","doxxing, harassment"
"FIR-2023-CYB-017","belagavi","cybercrime","phishing","2024-01-02T09:25:00",15.8700,74.5200,"Under Investigation","None","Fake job offer requiring upfront payment.","job scam, fraud"
"FIR-2023-CYB-018","bengaluru urban","cybercrime","identity theft","2024-01-04T12:50:00",12.9000,77.5000,"Pending Trial","None","Creation of fake company profile.","corporate, impersonation"
"FIR-2023-CYB-019","mysuru","cybercrime","online fraud","2024-01-06T16:15:00",12.3200,76.6600,"Charge-Sheeted","None","Fraudulent charity donation request.","charity, scam"
"FIR-2023-CYB-020","mangaluru","cybercrime","cyber bullying","2024-01-08T19:40:00",12.9400,74.8800,"Closed-True","None","Online stalking and harassment.","stalking, social media"
"FIR-2023-CYB-021","hubballi-dharwad","cybercrime","phishing","2024-01-10T11:05:00",15.3800,75.1600,"Under Investigation","None","Fake technical support scam.","tech support, vishing"
"FIR-2023-CYB-022","belagavi","cybercrime","identity theft","2024-01-12T14:30:00",15.8800,74.5300,"Pending Trial","None","Use of stolen credit card information.","financial, carding"
"FIR-2023-CYB-023","bengaluru urban","cybercrime","online fraud","2024-01-14T17:55:00",12.9100,77.5100,"Charge-Sheeted","None","Romance scam on dating platform.","romance, scam"
"FIR-2023-CYB-024","mysuru","cybercrime","cyber bullying","2024-01-16T20:20:00",12.3300,76.6700,"Closed-True","None","Spreading false rumors online.","defamation, social media"
