fir_id,district,crime_type,sub_type,date_time,lat,lon,status,weapon,description,mo_tags
"FIR-2023-BLR-001","bengaluru urban","theft","vehicle theft","2023-10-15T08:30:00",12.9716,77.5946,"Under Investigation","None","Stolen two-wheeler from parking lot.","lock picking, night"
"FIR-2023-BLR-002","bengaluru urban","assault","street brawl","2023-10-16T22:15:00",12.9352,77.6245,"Charge-Sheeted","stick","Altercation outside a pub resulting in injuries.","alcohol, group"
"FIR-2023-BLR-003","bengaluru urban","robbery","chain snatching","2023-10-17T06:45:00",12.9250,77.5938,"Pending Trial","knife","Two men on a bike snatched gold chain.","bike, early morning, weapon"
"FIR-2023-BLR-004","bengaluru urban","theft","pickpocketing","2023-10-18T14:30:00",12.9719,77.5937,"Under Investigation","None","Wallet stolen at crowded bus stop.","crowd, daytime"
"FIR-2023-BLR-005","bengaluru urban","property crime","house break-in","2023-10-19T02:10:00",12.9100,77.5800,"Closed-True","crowbar","Back door forced open, electronics missing.","night, unattended house"
"FIR-2023-BLR-006","bengaluru urban","drugs","possession","2023-10-20T21:00:00",12.9301,77.6300,"Charge-Sheeted","None","Found with illegal substances during traffic check.","night, vehicle"
"FIR-2023-BLR-007","bengaluru urban","assault","domestic violence","2023-10-21T18:45:00",12.9555,77.5555,"Under Investigation","stick","Assault within family residence.","indoor, domestic"
"FIR-2023-BLR-008","bengaluru urban","theft","vehicle theft","2023-10-22T10:00:00",12.9710,77.5940,"Pending Trial","None","Car stolen from street parking.","daytime, public area"
"FIR-2023-BLR-009","bengaluru urban","robbery","mugging","2023-10-23T23:30:00",12.9211,77.5933,"Under Investigation","knife","Pedestrian mugged at knife-point in alley.","night, hidden, weapon"
"FIR-2023-BLR-010","bengaluru urban","property crime","vandalism","2023-10-24T01:15:00",12.9400,77.6100,"Closed-True","None","Shop windows broken during night.","night, street"
"FIR-2023-BLR-011","bengaluru urban","theft","shoplifting","2023-10-25T15:20:00",12.9600,77.5800,"Charge-Sheeted","None","Items stolen from retail store.","daytime, cctv"
"FIR-2023-BLR-012","bengaluru urban","assault","street brawl","2023-10-26T20:00:00",12.9800,77.6000,"Pending Trial","stick","Fight between two groups over parking.","group, street"
"FIR-2023-BLR-013","bengaluru urban","drugs","trafficking","2023-10-27T04:30:00",12.9900,77.6100,"Under Investigation","None","Large quantity of narcotics seized.","night, border"
"FIR-2023-BLR-014","bengaluru urban","robbery","chain snatching","2023-10-28T07:15:00",12.9300,77.5700,"Closed-True","None","Chain snatched from elderly woman walking.","morning, bike"
"FIR-2023-BLR-015","bengaluru urban","theft","vehicle theft","2023-10-29T11:45:00",12.9150,77.5500,"Pending Trial","None","Scooter taken from outside apartment complex.","daytime, residential"
"FIR-2023-BLR-016","bengaluru urban","property crime","trespassing","2023-10-30T19:30:00",12.9250,77.5600,"Under Investigation","None","Unauthorized entry into construction site.","evening, commercial"
"FIR-2023-BLR-017","bengaluru urban","assault","street brawl","2023-10-31T22:50:00",12.9450,77.5900,"Charge-Sheeted","stick","Drunk individuals fighting near restaurant.","alcohol, group, night"
"FIR-2023-BLR-018","bengaluru urban","theft","pickpocketing","2023-11-01T13:00:00",12.9750,77.6050,"Closed-True","None","Mobile phone stolen in crowded market.","crowd, daytime"
"FIR-2023-BLR-019","bengaluru urban","robbery","mugging","2023-11-02T21:15:00",12.9850,77.6150,"Under Investigation","knife","Victim forced to hand over wallet and watch.","night, hidden, weapon"
"FIR-2023-BLR-020","bengaluru urban","drugs","possession","2023-11-03T03:45:00",12.9950,77.6250,"Pending Trial","None","Suspect caught with small amount of drugs.","night, patrol"
"FIR-2023-BLR-021","bengaluru urban","property crime","house break-in","2023-11-04T02:30:00",12.9050,77.5950,"Under Investigation","crowbar","Intruder broke window to enter home.","night, unattended house"
"FIR-2023-BLR-022","bengaluru urban","assault","domestic violence","2023-11-05T17:20:00",12.9150,77.6050,"Charge-Sheeted","None","Reported altercation at residence.","indoor, domestic"
"FIR-2023-BLR-023","bengaluru urban","theft","vehicle theft","2023-11-06T09:10:00",12.9250,77.6150,"Closed-True","None","Bicycle stolen from rack.","morning, public area"
"FIR-2023-BLR-024","bengaluru urban","robbery","chain snatching","2023-11-07T06:30:00",12.9350,77.6250,"Pending Trial","bike","Gold chain snatched during morning walk.","bike, early morning"
